经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
111.958984,41.005217,7088.79,-64.6,10.6,133.5,233.457669,1.296841
111.959053,41.005167,7090.26,-57.8,10.5,133.4,232.495159,1.280567
111.959134,41.005109,7091.96,-50.1,10.5,133.4,233.973758,1.264347
111.959231,41.005039,7093.99,-40.7,10.5,133.3,238.719975,1.249359
111.959329,41.00497,7096.02,-31.3,10.6,133.3,243.466191,1.24492
111.959426,41.0049,7098.05,-21.9,10.6,133.2,248.210331,1.247725
111.959525,41.004829,7100.07,-12.3,10.7,133.2,252.93256,1.236807
111.959624,41.004758,7102.1,-2.8,10.7,133.2,257.654762,1.228235
111.959723,41.004688,7104.13,6.7,10.8,133.2,262.376963,1.221909
111.959807,41.004627,7105.85,14.8,10.8,133.2,260.96213,1.212604
111.959875,41.004578,7107.25,21.4,10.8,133.3,253.079518,1.196656
111.959943,41.004529,7108.64,28.0,10.9,133.4,245.196934,1.195539
111.960012,41.004481,7110.04,34.6,10.9,133.4,238.740738,1.194591
111.96008,41.004432,7111.43,41.2,10.9,133.5,238.490726,1.205372
111.96017,41.004367,7113.26,50.0,10.9,133.6,242.489474,1.215582
111.96027,41.004295,7115.29,59.7,10.8,133.7,248.425127,1.226792
111.96037,41.004223,7117.32,69.4,10.7,133.7,254.360753,1.246358
111.960463,41.004156,7119.19,78.3,10.7,133.8,256.82768,1.260585
111.960544,41.004098,7120.8,86.2,10.6,133.9,253.797371,1.263963
111.960626,41.004039,7122.42,94.1,10.5,133.9,250.767062,1.2682
111.960708,41.003979,7124.07,102.1,10.4,134.0,247.999989,1.272298
111.960806,41.003909,7125.99,111.7,10.3,134.0,247.999989,1.268615
111.960904,41.003838,7127.91,121.2,10.2,134.1,248.000016,1.270336
111.961003,41.003767,7129.83,130.7,10.1,134.1,248.000016,1.281988
111.9611,41.003696,7131.71,140.2,10.1,134.1,250.687012,1.285019
111.961197,41.003626,7133.56,149.5,10.0,134.1,256.205969,1.278085
111.961294,41.003556,7135.41,158.9,9.9,134.1,261.724953,1.27348
111.961384,41.003491,7137.14,167.7,9.8,134.1,266.111383,1.270146
111.96145,41.003443,7138.37,174.0,9.8,134.1,265.569694,1.273795
111.961516,41.003396,7139.61,180.4,9.7,134.1,260.779382,1.275532
111.961581,41.003349,7140.84,186.7,9.7,134.1,254.052083,1.276512
111.961647,41.003301,7142.07,193.0,9.6,134.1,247.324784,1.277496
111.961733,41.003239,7143.69,-158.6,9.6,134.1,246.013524,1.274758
111.961852,41.003153,7145.9,-147.1,9.5,134.1,253.286255,1.267824
111.961971,41.003067,7148.11,-135.6,9.4,134.2,260.558931,1.271411
111.962086,41.002984,7150.23,-124.6,9.3,134.2,266.614358,1.282016
111.96215,41.002937,7151.4,-118.4,9.2,134.2,259.872579,1.283161
111.962214,41.002891,7152.56,-112.3,9.2,134.2,253.130745,1.285042
111.962277,41.002845,7153.73,-106.1,9.1,134.1,246.388966,1.291479
111.962341,41.002798,7154.9,-99.9,9.1,134.1,239.806958,1.299947
111.962405,41.002752,7156.06,-93.8,9.0,134.1,233.393411,1.311954
111.962505,41.002679,7157.84,-84.2,8.9,134.0,233.90715,1.3092
111.962605,41.002606,7159.63,-74.5,8.8,134.0,235.645624,1.308295
111.962706,41.002533,7161.42,-64.8,8.7,133.9,242.312217,1.30886
111.962803,41.002462,7163.13,-55.5,8.7,133.9,248.396112,1.298117
111.9629,41.002392,7164.8,-46.2,8.7,133.8,254.214341,1.281572
111.962996,41.002322,7166.47,-37.0,8.7,133.7,260.032569,1.265524
111.96308,41.002261,7167.92,-28.9,8.7,133.7,259.530195,1.251777
111.963145,41.002214,7169.02,-22.6,8.7,133.7,249.009682,1.24067
111.96321,41.002167,7170.13,-16.4,8.7,133.7,238.489196,1.231646
111.963275,41.002119,7171.24,-10.1,8.8,133.6,228.899392,1.224153
111.96334,41.002072,7172.34,-3.9,8.8,133.6,229.095432,1.217627
111.963416,41.002017,7173.63,3.5,8.8,133.6,231.4226,1.212124
111.96352,41.001942,7175.37,13.4,8.9,133.6,239.048288,1.212105
111.963623,41.001867,7177.11,23.4,8.9,133.7,246.673976,1.216695
111.963727,41.001792,7178.86,33.4,9.0,133.7,254.299663,1.225595
111.963826,41.00172,7180.5,42.9,9.0,133.8,254.160792,1.230739
111.963924,41.001648,7182.15,52.5,8.9,133.9,253.918348,1.238321
111.964023,41.001576,7183.79,62.0,8.9,134.1,253.675958,1.255939
111.964099,41.001521,7185.04,69.3,8.9,134.1,249.57697,1.263337
111.964164,41.001473,7186.11,75.7,8.8,134.2,243.719564,1.265999
111.964229,41.001425,7187.18,82.0,8.8,134.2,237.862157,1.268555
111.964294,41.001378,7188.25,88.3,8.8,134.2,234.316114,1.267865
111.96436,41.00133,7189.32,94.6,8.7,134.3,234.433758,1.260823
111.964443,41.001269,7190.66,102.6,8.6,134.3,238.024279,1.255061
111.964538,41.001199,7192.18,111.9,8.6,134.3,244.059926,1.25133
111.964634,41.001129,7193.71,121.2,8.5,134.4,250.095573,1.266307
111.964731,41.001058,7195.25,130.6,8.4,134.4,254.208795,1.275971
111.964831,41.000985,7196.8,140.2,8.3,134.4,253.542141,1.272663
111.964931,41.000912,7198.35,149.8,8.2,134.4,252.87546,1.270979
111.965031,41.000839,7199.91,159.5,8.1,134.4,252.208779,1.271141
111.965115,41.000777,7201.19,167.6,8.0,134.4,249.269448,1.263891
111.965198,41.000716,7202.46,175.6,8.0,134.4,246.299736,1.256183
111.965282,41.000655,7203.74,183.7,7.9,134.4,243.330079,1.248412
111.965362,41.000597,7204.95,-168.6,7.9,134.4,244.123802,1.241301
111.965441,41.000539,7206.13,-161.0,7.8,134.4,246.633596,1.234824
111.965519,41.000482,7207.31,-153.5,7.8,134.5,249.14339,1.239371
111.965598,41.000424,7208.49,-145.9,7.8,134.5,251.653184,1.248414
111.965676,41.000367,7209.67,-138.3,7.7,134.5,254.162978,1.263366
111.965757,41.000308,7210.87,-130.6,7.6,134.5,253.52848,1.274903
111.965838,41.000248,7212.07,-122.7,7.6,134.5,250.680018,1.2846
111.96592,41.000188,7213.28,-114.9,7.5,134.6,247.831502,1.294557
111.96601,41.000121,7214.6,-106.2,7.4,134.6,246.44317,1.303315
111.966122,41.000039,7216.21,-95.5,7.2,134.5,248.685603,1.307762
111.966234,40.999957,7217.82,-84.7,7.1,134.5,250.927982,1.312189
111.966345,40.999874,7219.43,-73.9,7.0,134.4,253.170415,1.316943
111.966439,40.999805,7220.74,-64.9,7.0,134.3,255.054017,1.301212
111.966533,40.999736,7222.04,-55.9,6.9,134.3,256.932811,1.285699
111.966626,40.999668,7223.34,-46.9,6.9,134.2,258.81155,1.271085
111.966698,40.999614,7224.33,-40.0,6.9,134.2,257.272298,1.260737
111.966761,40.999568,7225.18,-33.9,6.9,134.1,254.174234,1.251967
111.966824,40.999522,7226.03,-27.9,7.0,134.1,251.076197,1.253571
111.966886,40.999476,7226.88,-21.9,7.0,134.1,247.978132,1.255562
111.966949,40.99943,7227.73,-15.9,7.0,134.0,244.880095,1.256375
111.96704,40.999362,7228.95,-7.1,7.0,134.0,247.014092,1.253275
111.967152,40.99928,7230.43,3.7,7.0,134.0,252.832293,1.248693
111.967264,40.999198,7231.91,14.4,7.1,134.0,258.650439,1.245412
111.967367,40.999122,7233.28,24.4,7.1,134.0,261.166135,1.242659
111.96745,40.999061,7234.36,32.3,7.1,134.1,255.469156,1.239608
111.967532,40.999001,7235.44,40.2,7.2,134.1,249.772204,1.236689
111.967614,40.99894,7236.53,48.1,7.2,134.2,244.075225,1.233729
