经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
113.24812,41.234062,4916.88,68.1,-4.1,72.4,285.388362,1.308966
113.248237,41.23409,4916.03,58.7,-4.1,72.4,281.085343,1.301718
113.248354,41.234118,4915.18,49.2,-4.2,72.4,276.782351,1.301275
113.248471,41.234146,4914.33,39.8,-4.2,72.4,272.479359,1.304162
113.248602,41.234178,4913.36,29.2,-4.2,72.3,272.915535,1.292468
113.248734,41.234209,4912.37,18.6,-4.2,72.3,273.945828,1.283338
113.248866,41.234241,4911.38,8.0,-4.2,72.2,274.976121,1.280835
113.248975,41.234267,4910.55,-0.8,-4.2,72.2,275.865986,1.28018
113.249068,41.234289,4909.83,-8.3,-4.2,72.1,276.657659,1.279867
113.249161,41.234311,4909.12,-15.8,-4.3,72.1,277.449333,1.282381
113.249254,41.234334,4908.41,-23.3,-4.3,72.1,278.241034,1.287324
113.249347,41.234356,4907.69,-30.8,-4.3,72.0,279.03268,1.300936
113.249473,41.234386,4906.7,-41.0,-4.4,71.9,280.076278,1.307565
113.249609,41.234419,4905.63,-51.9,-4.5,71.9,281.187386,1.314337
113.249744,41.234452,4904.57,-62.8,-4.6,71.8,282.298494,1.323472
113.249876,41.234484,4903.52,-73.5,-4.7,71.7,283.211499,1.331048
113.249994,41.234512,4902.56,-83.0,-4.9,71.7,283.272042,1.324636
113.250111,41.23454,4901.6,-92.5,-5.0,71.7,283.332639,1.323622
113.250229,41.234569,4900.65,-101.9,-5.2,71.7,283.393237,1.32446
113.25034,41.234596,4899.69,-111.0,-5.3,71.8,280.454862,1.315724
113.250451,41.234623,4898.74,-120.0,-5.4,71.8,277.140499,1.309499
113.250563,41.23465,4897.79,-128.9,-5.4,71.9,273.826109,1.308652
113.250674,41.234677,4896.84,-137.9,-5.5,71.9,274.203791,1.312287
113.250786,41.234704,4895.88,-147.0,-5.6,72.0,277.289315,1.317979
113.250905,41.234733,4894.81,-156.7,-5.6,72.1,281.683231,1.307388
113.251025,41.234762,4893.75,-166.4,-5.6,72.1,286.077146,1.298355
113.251145,41.234791,4892.69,-176.0,-5.6,72.2,290.471088,1.291065
113.251243,41.234815,4891.8,-184.0,-5.6,72.2,285.933985,1.278702
113.251335,41.234837,4890.97,-191.4,-5.6,72.2,279.002572,1.26426
113.251428,41.23486,4890.13,-198.9,-5.5,72.2,272.07116,1.266325
113.25152,41.234882,4889.3,-206.3,-5.5,72.2,265.679824,1.26851
113.251612,41.234904,4888.46,-213.8,-5.5,72.2,261.612146,1.276625
113.251724,41.234932,4887.44,137.3,-5.5,72.2,260.554068,1.283617
113.251844,41.234961,4886.34,127.6,-5.6,72.1,260.857109,1.290559
113.251964,41.23499,4885.23,118.0,-5.6,72.1,262.058868,1.299514
113.252093,41.235021,4884.03,107.6,-5.6,72.1,264.951125,1.304232
113.252238,41.235057,4882.65,95.9,-5.6,72.1,270.326101,1.302724
113.252383,41.235092,4881.28,84.2,-5.7,72.0,275.701078,1.309194
113.252527,41.235127,4879.92,72.7,-5.7,72.0,280.637583,1.32071
113.25265,41.235157,4878.72,62.8,-5.7,72.0,281.061793,1.31587
113.252773,41.235188,4877.51,52.9,-5.8,72.0,281.486029,1.31245
113.252896,41.235218,4876.3,43.0,-5.8,72.0,281.910266,1.31053
113.252994,41.235242,4875.32,35.1,-5.8,72.0,281.907206,1.298169
113.253086,41.235264,4874.39,27.7,-5.8,72.0,281.78959,1.281847
113.253178,41.235287,4873.46,20.3,-5.8,71.9,281.671947,1.277492
113.25327,41.235309,4872.54,12.9,-5.8,71.9,281.554304,1.273089
113.253362,41.235332,4871.61,5.5,-5.8,71.9,281.436661,1.275361
113.253473,41.235359,4870.48,-3.4,-5.8,71.8,281.316559,1.275753
113.253592,41.235388,4869.26,-13.0,-5.9,71.7,281.195364,1.275886
113.253712,41.235417,4868.04,-22.5,-5.9,71.7,281.074142,1.285386
113.253843,41.23545,4866.68,-33.1,-5.9,71.6,281.376801,1.294373
113.253994,41.235487,4865.11,-45.3,-6.1,71.5,282.346497,1.30218
113.254145,41.235524,4863.53,-57.4,-6.2,71.4,283.316192,1.311747
113.254289,41.23556,4862.03,-69.1,-6.3,71.3,283.556232,1.322064
113.254367,41.235579,4861.19,-75.3,-6.4,71.3,276.287081,1.321656
113.254445,41.235598,4860.35,-81.6,-6.5,71.3,269.017956,1.320227
113.254523,41.235617,4859.51,-87.9,-6.6,71.3,261.748832,1.317402
113.254601,41.235637,4858.68,-94.2,-6.7,71.3,258.449167,1.319865
113.254679,41.235656,4857.84,-100.4,-6.8,71.3,256.213892,1.323577
113.254811,41.235689,4856.38,-111.1,-6.9,71.4,262.722243,1.3201
113.254943,41.235722,4854.91,-121.8,-7.0,71.4,269.331844,1.318138
113.255076,41.235755,4853.45,-132.5,-7.1,71.5,275.941473,1.317592
113.255206,41.235787,4851.97,-143.0,-7.1,71.6,279.21021,1.311376
113.255336,41.235819,4850.49,-153.5,-7.2,71.7,280.967782,1.302552
113.255466,41.235851,4849.01,-163.9,-7.2,71.7,282.725353,1.294242
113.255593,41.235883,4847.56,-174.1,-7.2,71.8,281.963241,1.285144
113.255714,41.235913,4846.15,-183.9,-7.2,71.8,277.235958,1.27417
113.255836,41.235943,4844.74,-193.7,-7.2,71.9,272.508702,1.263084
113.255955,41.235972,4843.36,156.7,-7.2,71.9,268.443045,1.252649
113.25605,41.235996,4842.24,149.1,-7.2,71.9,271.18818,1.248185
113.256146,41.23602,4841.13,141.4,-7.2,71.9,273.933288,1.246079
113.256241,41.236043,4840.01,133.8,-7.2,71.8,276.678396,1.250511
113.256336,41.236067,4838.89,126.1,-7.2,71.8,279.423476,1.262546
113.256431,41.23609,4837.77,118.5,-7.2,71.8,282.168584,1.276204
113.256575,41.236126,4836.06,107.0,-7.2,71.7,283.877524,1.287139
113.256719,41.236162,4834.33,95.4,-7.3,71.7,285.574471,1.299702
113.256863,41.236198,4832.61,83.9,-7.3,71.6,287.271473,1.314056
113.256994,41.236231,4831.01,73.4,-7.3,71.6,287.174047,1.312766
113.257119,41.236262,4829.48,63.4,-7.4,71.6,286.264949,1.304578
113.257243,41.236293,4827.94,53.4,-7.4,71.6,285.355823,1.297376
113.257367,41.236324,4826.4,43.5,-7.4,71.6,284.823533,1.286178
113.25749,41.236355,4824.86,33.7,-7.4,71.6,284.88413,1.267185
113.257612,41.236386,4823.32,23.8,-7.5,71.5,284.944728,1.253614
113.257733,41.236416,4821.8,14.2,-7.5,71.5,285.03128,1.244448
113.257831,41.23644,4820.55,6.4,-7.5,71.5,285.384209,1.24701
113.257929,41.236465,4819.3,-1.4,-7.5,71.4,285.737112,1.252632
113.258026,41.236489,4818.05,-9.3,-7.6,71.4,286.090069,1.265686
113.258124,41.236514,4816.79,-17.1,-7.6,71.3,286.442971,1.277931
113.258222,41.236538,4815.54,-24.9,-7.6,71.3,286.795928,1.28932
113.258341,41.236568,4814.0,-34.4,-7.7,71.2,282.845893,1.286693
113.25846,41.236598,4812.46,-44.0,-7.7,71.1,278.845915,1.284693
113.258579,41.236628,4810.92,-53.5,-7.8,71.0,274.845938,1.283032
113.258702,41.236659,4809.31,-63.4,-7.9,71.0,273.600029,1.279093
113.258826,41.23669,4807.67,-73.4,-8.1,70.9,273.600029,1.274633
113.25895,41.236722,4806.02,-83.4,-8.2,70.9,273.600029,1.282724
113.259065,41.236751,4804.5,-92.6,-8.3,70.9,272.126266,1.287439
113.259163,41.236776,4803.16,-100.5,-8.4,71.0,268.333052,1.284484
113.259262,41.236801,4801.82,-108.4,-8.5,71.0,264.539784,1.284279
113.259361,41.236826,4800.48,-116.3,-8.6,71.0,261.099663,1.28616
113.259459,41.236851,4799.14,-124.3,-8.6,71.1,261.295772,1.293763
113.259564,41.236877,4797.71,-132.7,-8.7,71.1,262.428845,1.297821
113.259682,41.236907,4796.06,-142.2,-8.8,71.2,265.872709,1.295001
113.259801,41.236938,4794.41,-151.7,-8.8,71.2,269.316572,1.292259
113.259919,41.236968,4792.76,-161.3,-8.9,71.3,272.760435,1.289935
113.26005,41.237001,4790.92,-171.7,-8.9,71.4,274.597319,1.269872
113.26018,41.237034,4789.08,-182.2,-8.8,71.4,276.415461,1.250455
113.26031,41.237066,4787.23,-192.6,-8.8,71.5,278.23363,1.231698
113.260415,41.237093,4785.74,158.9,-8.8,71.5,275.343995,1.219211
113.260509,41.237117,4784.4,151.5,-8.8,71.5,270.324353,1.208842
113.260603,41.237141,4783.06,144.0,-8.8,71.4,265.304765,1.210838
113.260697,41.237164,4781.72,136.5,-8.8,71.4,261.900134,1.215444
113.260791,41.237188,4780.38,129.0,-8.8,71.4,261.037426,1.222828
113.260901,41.237216,4778.79,120.2,-8.8,71.4,262.807702,1.231319
113.261023,41.237247,4777.03,110.4,-8.8,71.4,266.419124,1.241506
113.261145,41.237278,4775.26,100.7,-8.9,71.3,270.030491,1.259088
113.261273,41.237311,4773.4,90.5,-8.9,71.3,273.64907,1.270079
113.261415,41.237347,4771.3,79.2,-9.0,71.3,277.285463,1.267433
113.261557,41.237383,4769.2,67.8,-9.0,71.2,280.921856,1.267446
113.2617,41.23742,4767.09,56.4,-9.1,71.2,284.558221,1.269682
113.261782,41.237441,4765.86,49.9,-9.1,71.2,276.762516,1.257837
113.261863,41.237462,4764.63,43.4,-9.1,71.2,268.833842,1.247093
113.261944,41.237482,4763.4,36.9,-9.1,71.2,260.905194,1.24402
113.262025,41.237503,4762.17,30.4,-9.1,71.2,257.058322,1.242089
113.262106,41.237524,4760.95,23.9,-9.1,71.2,255.058333,1.239518
113.262233,41.237556,4759.01,13.8,-9.1,71.1,260.264468,1.232392
113.262365,41.23759,4756.98,3.3,-9.2,71.1,266.374946,1.230863
113.262498,41.237624,4754.95,-7.3,-9.2,71.0,272.485479,1.239082
113.262638,41.23766,4752.79,-18.4,-9.2,70.9,277.211314,1.243011
113.262783,41.237697,4750.53,-30.0,-9.3,70.9,280.968875,1.245307
113.262929,41.237735,4748.28,-41.6,-9.4,70.8,284.726435,1.249916
113.263071,41.237771,4746.06,-53.0,-9.4,70.7,286.997883,1.253698
113.263205,41.237806,4743.96,-63.6,-9.6,70.6,285.603923,1.251076
113.263338,41.23784,4741.86,-74.3,-9.7,70.6,284.210018,1.257498
113.263471,41.237874,4739.76,-85.0,-9.8,70.5,282.816058,1.267217
113.263544,41.237893,4738.6,-90.8,-9.9,70.5,281.326968,1.264902
113.263616,41.237912,4737.44,-96.5,-10.0,70.5,279.836784,1.261292
113.263688,41.237931,4736.29,-102.3,-10.0,70.6,278.346601,1.258387
113.26376,41.237949,4735.13,-108.0,-10.1,70.6,276.856418,1.259889
113.263832,41.237968,4733.98,-113.8,-10.2,70.6,275.366207,1.263117
113.263943,41.237997,4732.16,-122.7,-10.3,70.7,273.046128,1.258912
113.264059,41.238027,4730.25,-132.0,-10.3,70.8,270.621876,1.254382
113.264176,41.238057,4728.34,-141.4,-10.4,70.9,268.19765,1.250187
113.264312,41.238092,4726.09,-152.3,-10.4,70.9,267.663639,1.241548
113.264463,41.238131,4723.58,-164.3,-10.4,71.0,268.451515,1.23057
113.264613,41.23817,4721.07,-176.3,-10.5,71.1,269.239418,1.221696
113.264747,41.238205,4718.84,173.0,-10.5,71.1,267.95608,1.213714
113.264841,41.238229,4717.26,165.6,-10.5,71.1,261.563897,1.203059
113.264935,41.238253,4715.69,158.1,-10.5,71.1,255.171715,1.20161
113.265028,41.238278,4714.11,150.6,-10.4,71.1,248.779586,1.201015
113.265122,41.238302,4712.54,143.2,-10.4,71.1,252.11709,1.21705
113.265224,41.238328,4710.82,135.1,-10.4,71.1,256.818446,1.232332
113.26536,41.238363,4708.51,124.3,-10.4,71.0,266.904013,1.247007
113.265496,41.238399,4706.2,113.5,-10.5,71.0,276.989552,1.263319
113.265632,41.238434,4703.89,102.7,-10.5,70.9,287.075091,1.280955
113.26574,41.238462,4702.01,94.1,-10.5,70.9,286.423054,1.272158
113.265845,41.23849,4700.18,85.8,-10.5,70.9,284.423011,1.259421
113.265949,41.238517,4698.36,77.4,-10.6,70.9,282.423022,1.246396
113.266054,41.238544,4696.53,69.1,-10.6,70.9,277.284561,1.23434
113.266159,41.238572,4694.7,60.8,-10.6,70.8,269.951288,1.223789
113.266263,41.238599,4692.88,52.4,-10.6,70.8,262.617987,1.22429
113.266368,41.238627,4691.05,44.1,-10.7,70.8,257.897725,1.225746
113.266473,41.238654,4689.23,35.8,-10.7,70.8,259.623195,1.23199
113.266584,41.238683,4687.25,26.9,-10.7,70.8,262.356172,1.223992
113.266697,41.238713,4685.22,18.0,-10.7,70.8,265.359434,1.211384
113.266811,41.238742,4683.2,9.0,-10.7,70.7,268.362722,1.217086
113.266924,41.238772,4681.18,0.0,-10.7,70.7,270.08046,1.222142
113.267035,41.238801,4679.17,-8.9,-10.7,70.6,266.262303,1.224003
113.267147,41.23883,4677.16,-17.7,-10.8,70.6,262.444118,1.227385
113.267258,41.238859,4675.14,-26.6,-10.8,70.5,258.625933,1.231929
113.267377,41.238891,4672.98,-36.1,-10.9,70.4,260.299985,1.230318
113.267498,41.238922,4670.8,-45.6,-11.0,70.4,262.66364,1.233782
113.267618,41.238954,4668.62,-55.1,-11.1,70.3,265.027295,1.245469
113.267734,41.238984,4666.49,-64.3,-11.2,70.3,266.760141,1.24915
113.267847,41.239014,4664.41,-73.3,-11.3,70.3,268.051785,1.246474
113.26796,41.239044,4662.32,-82.2,-11.4,70.2,269.343428,1.244944
113.268073,41.239074,4660.24,-91.2,-11.5,70.2,270.635072,1.246131
113.268186,41.239104,4658.15,-100.2,-11.7,70.2,271.926715,1.256715
113.268313,41.239137,4655.75,-110.4,-11.8,70.2,274.565326,1.252562
113.268445,41.239172,4653.25,-120.8,-11.8,70.3,277.565337,1.24576
113.268577,41.239207,4650.76,-131.3,-11.9,70.4,280.565347,1.240794
113.268708,41.239242,4648.27,-141.7,-12.0,70.4,283.5482,1.234073
113.268838,41.239276,4645.77,-152.1,-12.0,70.5,286.457287,1.213949
113.268968,41.239311,4643.28,-162.4,-12.1,70.6,289.366374,1.198683
113.269098,41.239345,4640.78,-172.7,-12.1,70.7,292.275433,1.185908
113.269191,41.23937,4638.98,-180.1,-12.1,70.7,288.130902,1.183015
113.269279,41.239393,4637.28,-187.1,-12.1,70.7,283.100631,1.185309
113.269367,41.239416,4635.57,-194.1,-12.0,70.7,278.070334,1.192913
113.269455,41.239439,4633.87,-201.1,-12.0,70.7,273.670818,1.199158
113.269547,41.239464,4632.08,151.6,-12.0,70.7,270.32255,1.204053
113.269679,41.239499,4629.49,141.1,-12.0,70.7,273.262809,1.207015
113.269811,41.239534,4626.9,130.7,-12.1,70.6,276.203015,1.210577
113.269943,41.239569,4624.3,120.2,-12.1,70.6,279.143247,1.214726
113.270076,41.239604,4621.71,109.8,-12.1,70.6,279.729086,1.225452
113.270208,41.239639,4619.12,99.3,-12.1,70.6,279.683187,1.238557
113.27034,41.239674,4616.52,88.9,-12.2,70.5,279.637234,1.252366
113.270463,41.239707,4614.1,79.1,-12.2,70.5,278.241744,1.26326
113.270548,41.23973,4612.39,72.4,-12.2,70.5,271.033436,1.257365
113.270633,41.239752,4610.68,65.7,-12.2,70.5,263.825127,1.250921
113.270718,41.239775,4608.97,58.9,-12.3,70.5,256.616819,1.244088
113.270803,41.239798,4607.26,52.2,-12.3,70.5,255.331268,1.237703
113.270904,41.239825,4605.23,44.3,-12.3,70.5,257.212848,1.232108
113.271029,41.239858,4602.69,34.4,-12.3,70.5,262.9098,1.228444
113.271154,41.239892,4600.14,24.6,-12.3,70.4,268.606779,1.228708
113.271278,41.239925,4597.6,14.8,-12.3,70.4,273.640191,1.230679
113.271399,41.239957,4595.12,5.2,-12.3,70.3,271.832513,1.222649
113.27152,41.23999,4592.63,-4.3,-12.4,70.3,270.024835,1.215612
113.271641,41.240022,4590.15,-13.9,-12.4,70.2,268.217185,1.209675
113.271748,41.240051,4587.92,-22.3,-12.4,70.2,264.250894,1.203066
113.271852,41.240078,4585.77,-30.5,-12.5,70.1,259.705266,1.195936
113.271956,41.240106,4583.62,-38.7,-12.6,70.0,255.159694,1.202585
113.27206,41.240134,4581.46,-46.9,-12.6,70.0,252.015894,1.209579
113.272164,41.240162,4579.31,-55.1,-12.7,69.9,254.910474,1.221013
113.272271,41.240191,4577.06,-63.6,-12.8,69.9,258.48004,1.226719
113.272381,41.24022,4574.76,-72.2,-12.9,69.8,262.355079,1.229534
113.27249,41.24025,4572.46,-80.9,-12.9,69.8,266.230119,1.239881
113.272608,41.240282,4569.98,-90.2,-13.0,69.8,268.929601,1.246805
113.272737,41.240317,4567.21,-100.5,-13.2,69.8,269.778047,1.247673
113.272867,41.240352,4564.44,-110.7,-13.3,69.9,270.62652,1.249809
113.272998,41.240387,4561.66,-121.1,-13.4,69.9,271.635749,1.251428
113.273135,41.240424,4558.68,-131.9,-13.5,70.0,274.302391,1.235972
113.273272,41.240462,4555.7,-142.8,-13.5,70.1,276.969089,1.221609
113.273409,41.240499,4552.72,-153.7,-13.6,70.2,279.635731,1.208543
113.273533,41.240532,4550.03,-163.4,-13.6,70.2,282.155579,1.189073
113.273652,41.240564,4547.42,-172.8,-13.6,70.2,284.636003,1.167918
113.273771,41.240596,4544.8,-182.3,-13.6,70.3,287.1164,1.155684
113.273884,41.240627,4542.32,168.8,-13.6,70.3,288.639095,1.146187
113.273972,41.24065,4540.39,161.9,-13.6,70.3,286.036165,1.148977
113.274059,41.240674,4538.47,155.1,-13.6,70.3,282.758302,1.159418
113.274146,41.240697,4536.55,148.2,-13.6,70.3,279.174939,1.172603
113.274233,41.240721,4534.63,141.3,-13.6,70.3,275.591576,1.184869
113.274349,41.240752,4532.06,132.2,-13.6,70.3,275.236024,1.195999
113.27451,41.240796,4528.49,119.6,-13.6,70.2,279.96328,1.207929
113.274671,41.24084,4524.92,106.9,-13.7,70.2,284.69059,1.221615
113.274825,41.240881,4521.49,94.8,-13.7,70.1,288.238026,1.234956
113.274909,41.240904,4519.6,88.3,-13.7,70.1,279.617781,1.228269
113.274993,41.240927,4517.71,81.7,-13.7,70.1,270.997482,1.220827
113.275076,41.24095,4515.82,75.1,-13.8,70.1,262.377182,1.212771
113.27516,41.240973,4513.93,68.5,-13.8,70.1,256.062262,1.209605
113.275244,41.240996,4512.04,62.0,-13.8,70.1,250.366157,1.207708
113.275376,41.241032,4509.02,51.6,-13.8,70.1,252.291724,1.204226
113.275509,41.241068,4505.98,41.2,-13.9,70.0,255.264441,1.201326
113.275642,41.241104,4502.95,30.7,-13.9,70.0,262.36292,1.199489
113.275771,41.24114,4499.96,20.6,-13.9,70.0,268.960774,1.194536
113.275899,41.241175,4497.0,10.5,-13.9,69.9,275.332029,1.188699
113.276027,41.24121,4494.03,0.5,-13.9,69.9,281.703284,1.184008
113.276153,41.241244,4491.13,-9.4,-13.9,69.9,283.128553,1.179077
113.276274,41.241277,4488.31,-18.8,-14.0,69.8,276.764893,1.171914
113.276395,41.24131,4485.5,-28.3,-14.0,69.7,270.401261,1.172743
113.276513,41.241343,4482.74,-37.5,-14.1,69.6,264.710893,1.178174
113.276605,41.241368,4480.59,-44.7,-14.2,69.6,265.965818,1.180871
113.276696,41.241393,4478.43,-51.9,-14.2,69.5,267.220715,1.183479
113.276788,41.241418,4476.28,-59.1,-14.3,69.5,268.475612,1.188943
113.27688,41.241444,4474.13,-66.3,-14.3,69.4,269.730509,1.198517
113.276972,41.241469,4471.97,-73.5,-14.4,69.4,270.98546,1.208503
113.277081,41.241499,4469.38,-82.1,-14.5,69.4,267.405949,1.202363
113.27719,41.241529,4466.79,-90.7,-14.6,69.4,263.769611,1.197733
113.277299,41.241559,4464.19,-99.3,-14.8,69.4,260.133219,1.199543
113.277423,41.241594,4461.21,-109.1,-14.9,69.4,259.292013,1.191604
113.277553,41.24163,4458.05,-119.3,-15.0,69.5,259.716249,1.180513
113.277684,41.241666,4454.9,-129.6,-15.0,69.6,260.140486,1.178935
113.277818,41.241703,4451.65,-140.1,-15.1,69.6,261.529801,1.170961
113.277957,41.241741,4448.26,-151.0,-15.1,69.7,264.438888,1.149367
113.278096,41.241779,4444.86,-162.0,-15.2,69.8,267.348002,1.132192
113.278229,41.241816,4441.6,-172.5,-15.2,69.9,269.833727,1.119646
113.278309,41.241838,4439.63,-178.7,-15.2,69.9,267.951381,1.123212
113.27839,41.241861,4437.66,-185.0,-15.2,69.9,266.068981,1.128589
113.27847,41.241883,4435.69,-191.2,-15.1,69.9,264.186635,1.140093
113.27855,41.241905,4433.72,-197.5,-15.1,69.9,262.304263,1.150317
113.27863,41.241927,4431.75,-203.7,-15.1,69.9,260.42189,1.159156
113.27876,41.241963,4428.53,146.1,-15.1,69.9,263.634592,1.163599
113.278891,41.241999,4425.29,135.8,-15.1,69.8,266.907346,1.168595
113.279023,41.242035,4422.05,125.6,-15.1,69.8,270.180099,1.173913
113.279134,41.242066,4419.29,116.9,-15.1,69.8,268.044162,1.173929
113.279236,41.242095,4416.74,108.9,-15.2,69.8,263.459493,1.171175
113.279338,41.242123,4414.19,100.9,-15.2,69.7,258.874825,1.168231
113.27944,41.242151,4411.64,93.0,-15.2,69.7,253.795841,1.16677
113.279543,41.24218,4409.09,85.0,-15.3,69.7,247.938435,1.168147
113.279664,41.242213,4406.04,75.5,-15.3,69.7,245.06369,1.167507
113.279799,41.242251,4402.63,65.0,-15.3,69.7,245.098169,1.16656
