经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
113.069412,40.798304,7004.9,-82.7,-1.9,100.0,1.511603,1.448438
113.069512,40.79829,7004.52,-82.9,-1.9,99.9,1.668479,1.441376
113.069613,40.798277,7004.14,-83.0,-2.0,99.9,1.825354,1.44169
113.069713,40.798263,7003.76,-83.1,-2.0,99.9,1.98223,1.444811
113.069849,40.798244,7003.22,-83.3,-2.1,99.9,2.376086,1.43916
113.069988,40.798225,7002.66,-83.6,-2.1,99.9,2.800323,1.437187
113.070128,40.798206,7002.09,-83.9,-2.2,99.9,3.22456,1.443476
113.070282,40.798185,7001.45,-84.3,-2.2,99.9,4.004349,1.447994
113.070445,40.798162,7000.74,-84.9,-2.3,99.9,5.034614,1.452737
113.070608,40.79814,7000.04,-85.4,-2.4,99.9,6.064935,1.459948
113.070749,40.798121,6999.42,-85.9,-2.4,99.9,6.95122,1.465718
113.070838,40.798109,6999.02,-86.2,-2.5,99.9,7.478839,1.460586
113.070927,40.798096,6998.61,-86.5,-2.5,99.9,8.006457,1.456923
113.071015,40.798084,6998.21,-86.8,-2.5,99.9,8.534075,1.454431
113.071104,40.798072,6997.8,-87.1,-2.6,99.9,8.889409,1.464131
113.071206,40.798058,6997.32,-87.4,-2.6,99.9,9.245672,1.472833
113.071367,40.798036,6996.54,-87.7,-2.7,99.9,9.616415,1.481348
113.071528,40.798015,6995.75,-88.0,-2.7,99.9,9.987212,1.491644
113.071688,40.797993,6994.97,-88.3,-2.8,99.9,10.357955,1.503225
113.07184,40.797972,6994.19,-88.5,-2.9,99.9,10.238836,1.495855
113.07199,40.797952,6993.41,-88.6,-2.9,99.9,10.057044,1.486725
113.07214,40.797931,6992.63,-88.8,-3.0,99.9,9.875197,1.478803
113.07226,40.797915,6992.0,-88.9,-3.0,99.9,9.22917,1.470571
113.072359,40.797901,6991.46,-89.0,-3.1,99.9,8.255896,1.461501
113.072457,40.797888,6990.93,-89.1,-3.1,99.9,7.282621,1.460103
113.072555,40.797875,6990.39,-89.1,-3.1,99.9,6.453436,1.458263
113.072654,40.797861,6989.85,-89.2,-3.2,99.9,5.982809,1.457126
113.072776,40.797845,6989.17,-89.2,-3.2,99.9,5.51393,1.454928
113.072923,40.797825,6988.33,-89.3,-3.3,99.9,5.046909,1.452791
113.07307,40.797805,6987.49,-89.4,-3.4,99.9,4.579888,1.467637
113.073214,40.797785,6986.65,-89.4,-3.4,99.9,4.098168,1.479333
113.073347,40.797767,6985.85,-89.4,-3.4,99.9,3.552737,1.476067
113.073481,40.797749,6985.05,-89.5,-3.5,99.9,3.007305,1.474273
113.073614,40.797731,6984.25,-89.5,-3.5,99.9,2.461873,1.474291
113.073733,40.797715,6983.52,-89.5,-3.6,99.9,2.131347,1.464997
113.07385,40.797699,6982.79,-89.6,-3.6,99.9,1.828305,1.461346
113.073967,40.797683,6982.06,-89.6,-3.7,99.9,1.525263,1.467949
113.074092,40.797666,6981.25,-89.6,-3.7,99.9,1.353962,1.466368
113.074224,40.797648,6980.39,-89.6,-3.8,99.9,1.275551,1.458755
113.074356,40.79763,6979.53,-89.7,-3.8,99.9,1.197141,1.449332
113.074487,40.797612,6978.67,-89.7,-3.8,99.9,1.118676,1.44515
113.074619,40.797595,6977.81,-89.7,-3.9,99.9,1.040265,1.456321
113.07475,40.797577,6976.94,-89.7,-3.9,99.9,0.970488,1.465772
113.074879,40.797559,6976.05,-89.7,-4.0,99.9,0.909945,1.473357
113.075009,40.797542,6975.16,-89.8,-4.1,99.9,0.849348,1.481684
113.075144,40.797523,6974.23,-89.8,-4.1,99.9,0.800061,1.486786
113.075304,40.797502,6973.09,-89.8,-4.2,99.9,0.800061,1.476287
113.075464,40.79748,6971.95,-89.9,-4.2,99.9,0.800006,1.467022
113.075624,40.797458,6970.81,-89.9,-4.3,99.9,0.800006,1.459465
113.075735,40.797443,6969.99,-89.9,-4.3,99.9,0.783231,1.448658
113.07584,40.797429,6969.21,-89.9,-4.4,99.9,0.764271,1.443682
113.075946,40.797415,6968.43,-90.0,-4.4,99.9,0.745365,1.447628
113.076051,40.7974,6967.65,-90.0,-4.5,99.9,0.738917,1.458098
113.076158,40.797386,6966.85,-90.0,-4.5,99.9,0.737824,1.472614
113.076288,40.797368,6965.85,-90.0,-4.6,99.9,0.698592,1.478462
113.076418,40.797351,6964.85,-90.0,-4.6,99.9,0.659359,1.484852
113.076549,40.797333,6963.85,-90.0,-4.7,99.9,0.620127,1.491769
113.076696,40.797313,6962.7,-90.0,-4.7,99.9,0.600018,1.489112
113.07686,40.797291,6961.38,-90.0,-4.8,99.9,0.600018,1.477387
113.077025,40.797268,6960.07,-90.1,-4.9,99.9,0.599964,1.468144
113.077177,40.797248,6958.85,-90.1,-4.9,99.9,0.596412,1.460759
113.077271,40.797235,6958.07,-90.1,-4.9,99.9,0.577506,1.450766
113.077366,40.797222,6957.29,-90.1,-5.0,99.9,0.558546,1.452165
113.077461,40.797209,6956.51,-90.2,-5.0,99.9,0.539585,1.456665
113.077556,40.797197,6955.73,-90.2,-5.1,99.9,0.537454,1.465845
113.077675,40.79718,6954.73,-90.2,-5.1,99.9,0.521335,1.470632
113.077833,40.797159,6953.38,-90.2,-5.2,99.9,0.479698,1.470581
113.077991,40.797138,6952.02,-90.2,-5.2,99.9,0.438061,1.474491
113.078146,40.797117,6950.7,-90.2,-5.3,99.9,0.404784,1.480192
113.078267,40.7971,6949.62,-90.2,-5.3,99.9,0.460355,1.474112
113.078389,40.797084,6948.55,-90.3,-5.4,99.9,0.515871,1.468053
113.078511,40.797067,6947.47,-90.3,-5.4,99.9,0.571441,1.462268
113.078642,40.797049,6946.31,-90.3,-5.4,99.9,0.599964,1.4549
113.078781,40.797031,6945.05,-90.3,-5.5,99.9,0.600018,1.446229
113.07892,40.797012,6943.79,-90.4,-5.6,99.9,0.600018,1.451827
113.079053,40.796994,6942.57,-90.4,-5.6,99.9,0.600018,1.455656
113.079162,40.796979,6941.55,-90.4,-5.6,99.9,0.600018,1.449493
113.079272,40.796964,6940.53,-90.4,-5.7,99.9,0.600018,1.448151
113.079381,40.796949,6939.51,-90.5,-5.7,99.9,0.600018,1.446983
113.07949,40.796934,6938.49,-90.5,-5.8,99.9,0.600018,1.459294
113.079622,40.796917,6937.24,-90.5,-5.8,99.9,0.600018,1.468324
113.079789,40.796894,6935.62,-90.5,-5.9,99.9,0.600018,1.472999
113.079956,40.796871,6934.01,-90.5,-5.9,99.9,0.600018,1.479778
113.08012,40.796849,6932.41,-90.5,-6.0,99.9,0.600018,1.48707
113.080258,40.79683,6931.04,-90.5,-6.1,99.9,0.600018,1.479674
113.080396,40.796812,6929.67,-90.6,-6.1,99.9,0.600018,1.473369
113.080534,40.796793,6928.3,-90.6,-6.2,99.9,0.600018,1.468183
113.08065,40.796777,6927.13,-90.6,-6.2,99.9,0.590784,1.45884
113.080744,40.796765,6926.17,-90.6,-6.3,99.9,0.571823,1.442814
113.080838,40.796752,6925.21,-90.7,-6.3,99.9,0.552917,1.442799
113.080932,40.796739,6924.25,-90.7,-6.3,99.9,0.537509,1.443125
113.081026,40.796726,6923.29,-90.7,-6.4,99.9,0.537509,1.457082
113.081163,40.796708,6921.86,-90.7,-6.4,99.9,0.508931,1.463322
113.081321,40.796686,6920.2,-90.7,-6.5,99.9,0.46724,1.468576
113.081478,40.796665,6918.55,-90.7,-6.6,99.9,0.425603,1.475972
113.081629,40.796645,6916.95,-90.7,-6.6,99.9,0.423472,1.477364
113.081771,40.796625,6915.43,-90.7,-6.6,99.9,0.484069,1.467053
113.081912,40.796606,6913.9,-90.8,-6.7,99.9,0.544667,1.457145
113.08205,40.796588,6912.41,-90.8,-6.7,99.9,0.598598,1.447687
113.082152,40.796574,6911.28,-90.8,-6.7,99.9,0.58226,1.439413
113.082255,40.79656,6910.14,-90.8,-6.8,99.9,0.565922,1.434134
113.082358,40.796546,6909.01,-90.9,-6.8,99.9,0.549584,1.436149
113.08246,40.796532,6907.87,-90.9,-6.9,99.9,0.540022,1.438002
113.082563,40.796518,6906.73,-90.9,-6.9,99.9,0.537509,1.439906
113.082708,40.796498,6905.09,-90.9,-7.0,99.9,0.556196,1.440817
113.082854,40.796479,6903.43,-91.0,-7.0,99.9,0.575102,1.443658
113.083,40.796459,6901.78,-91.0,-7.1,99.9,0.594008,1.455987
113.083155,40.796438,6899.99,-91.0,-7.1,99.9,0.599964,1.456323
113.083315,40.796416,6898.13,-91.0,-7.2,99.9,0.599964,1.453126
113.083474,40.796394,6896.28,-91.0,-7.3,99.9,0.599964,1.452795
113.083629,40.796374,6894.46,-91.0,-7.3,99.9,0.599964,1.44787
113.083776,40.796353,6892.7,-91.0,-7.4,99.9,0.599964,1.432093
113.083924,40.796333,6890.94,-91.1,-7.4,99.9,0.599964,1.422932
113.084067,40.796314,6889.23,-91.1,-7.5,99.9,0.599964,1.418287
113.084161,40.796301,6888.08,-91.1,-7.5,99.9,0.599964,1.414109
113.084255,40.796289,6886.94,-91.1,-7.6,99.9,0.599964,1.412298
113.084349,40.796276,6885.79,-91.2,-7.6,99.9,0.599964,1.418423
113.084443,40.796263,6884.64,-91.2,-7.7,99.9,0.599964,1.428479
113.084537,40.79625,6883.5,-91.2,-7.7,99.9,0.599964,1.443805
113.084697,40.796228,6881.5,-91.2,-7.8,99.9,0.540186,1.449845
113.084858,40.796207,6879.5,-91.2,-7.8,99.9,0.479589,1.458034
113.085019,40.796185,6877.49,-91.2,-7.9,99.9,0.418991,1.468241
113.085162,40.796165,6875.67,-91.2,-7.9,99.9,0.441558,1.465832
113.085298,40.796147,6873.94,-91.3,-8.0,99.9,0.50221,1.457049
113.085434,40.796128,6872.2,-91.3,-8.0,99.9,0.562808,1.448374
113.085557,40.796112,6870.63,-91.3,-8.0,99.9,0.591713,1.439295
113.085658,40.796098,6869.32,-91.3,-8.1,99.9,0.570348,1.428693
113.085758,40.796084,6868.0,-91.3,-8.1,99.9,0.548983,1.421826
113.085859,40.796071,6866.69,-91.4,-8.1,99.9,0.529422,1.418307
113.08596,40.796057,6865.38,-91.4,-8.2,99.9,0.529422,1.425852
113.08607,40.796042,6863.93,-91.4,-8.2,99.9,0.51822,1.434242
113.086205,40.796024,6862.14,-91.4,-8.3,99.9,0.478988,1.445663
113.086339,40.796005,6860.35,-91.4,-8.3,99.9,0.439755,1.456648
113.086474,40.795987,6858.56,-91.4,-8.4,99.9,0.400577,1.467531
113.086633,40.795965,6856.4,-91.4,-8.5,99.9,0.459808,1.465
113.086793,40.795944,6854.24,-91.5,-8.5,99.9,0.520406,1.463308
113.086952,40.795922,6852.07,-91.5,-8.6,99.9,0.581003,1.462426
113.087072,40.795906,6850.42,-91.5,-8.6,99.9,0.58532,1.455308
113.087174,40.795892,6849.01,-91.5,-8.7,99.9,0.563955,1.444125
113.087276,40.795878,6847.59,-91.6,-8.7,99.9,0.542536,1.431308
113.087378,40.795864,6846.18,-91.6,-8.7,99.9,0.529422,1.420931
113.08748,40.79585,6844.76,-91.6,-8.8,99.9,0.529422,1.415686
113.087597,40.795834,6843.12,-91.6,-8.8,99.9,0.541989,1.41127
113.087724,40.795817,6841.31,-91.6,-8.8,99.9,0.563354,1.408316
113.087852,40.7958,6839.51,-91.7,-8.9,99.9,0.584773,1.41908
113.087992,40.79578,6837.51,-91.7,-8.9,99.9,0.600018,1.428435
113.088164,40.795757,6835.04,-91.7,-9.0,99.9,0.600018,1.435618
113.088335,40.795734,6832.57,-91.7,-9.0,99.9,0.600018,1.445447
113.088507,40.79571,6830.1,-91.7,-9.1,99.9,0.600018,1.457971
113.088651,40.795691,6827.98,-91.7,-9.2,99.9,0.600018,1.445878
113.088795,40.795671,6825.86,-91.8,-9.2,99.9,0.600018,1.433872
113.088938,40.795651,6823.74,-91.8,-9.3,99.9,0.600018,1.422443
113.089057,40.795635,6821.98,-91.8,-9.3,99.9,0.600018,1.411746
113.089164,40.795621,6820.38,-91.8,-9.4,99.9,0.600018,1.400577
113.089271,40.795606,6818.78,-91.9,-9.4,99.9,0.600018,1.405479
113.089377,40.795592,6817.17,-91.9,-9.4,99.9,0.599964,1.415041
113.089484,40.795577,6815.57,-91.9,-9.5,99.9,0.599964,1.430342
113.0896,40.795561,6813.81,-91.9,-9.5,99.9,0.564392,1.433979
113.089722,40.795545,6811.95,-91.9,-9.6,99.9,0.503849,1.430731
113.089845,40.795528,6810.08,-91.9,-9.7,99.9,0.443197,1.428711
113.08998,40.795509,6807.99,-91.9,-9.7,99.9,0.417352,1.423699
113.09015,40.795486,6805.35,-91.9,-9.8,99.9,0.477949,1.410643
113.09032,40.795463,6802.72,-92.0,-9.8,100.0,0.538547,1.409475
113.09049,40.79544,6800.08,-92.0,-9.9,100.0,0.599144,1.419074
113.090629,40.795421,6797.87,-92.0,-9.9,100.0,0.599964,1.415882
113.090768,40.795402,6795.67,-92.1,-10.0,100.0,0.599964,1.412059
113.090907,40.795383,6793.47,-92.1,-10.0,100.0,0.599964,1.409893
113.091021,40.795367,6791.65,-92.1,-10.0,100.0,0.599964,1.411193
113.091123,40.795353,6790.01,-92.1,-10.1,100.0,0.599964,1.413751
113.091224,40.795339,6788.37,-92.2,-10.1,100.0,0.600018,1.416733
113.091326,40.795326,6786.73,-92.2,-10.1,100.0,0.600018,1.41978
113.091428,40.795312,6785.09,-92.2,-10.2,100.0,0.600018,1.422678
113.091558,40.795294,6782.97,-92.2,-10.2,100.0,0.600018,1.419447
113.091708,40.795273,6780.52,-92.2,-10.3,100.0,0.600018,1.413825
113.091857,40.795253,6778.07,-92.2,-10.4,100.0,0.600018,1.415975
113.092006,40.795232,6775.61,-92.2,-10.4,100.0,0.600018,1.414434
113.092154,40.795212,6773.15,-92.2,-10.5,100.0,0.600018,1.401341
