x,vx,y,vy,z,vz
787.3516,185.5005,0.0062,0.0038,825.9656,120.1887
793.5184,184.5048,0.0063,0.0039,829.9875,121.1267
799.6519,183.5015,0.0064,0.0039,834.0406,122.0584
805.7518,182.4906,0.0066,0.0039,838.1247,122.9836
811.8178,181.4721,0.0067,0.0039,842.2395,123.9023
817.8498,180.4461,0.0068,0.0040,846.3848,124.8145
823.8475,179.4126,0.0070,0.0040,850.5603,125.7201
829.8106,178.3716,0.0071,0.0040,854.7660,126.6191
835.7388,177.3232,0.0072,0.0040,859.0015,127.5112
841.6320,176.2673,0.0074,0.0041,863.2667,128.3966
847.4899,175.2040,0.0075,0.0041,867.5612,129.2751
853.3122,174.1333,0.0076,0.0041,871.8850,130.1467
859.0987,173.0553,0.0078,0.0041,876.2376,131.0113
864.8492,171.9700,0.0079,0.0041,880.6190,131.8689
870.5633,170.8773,0.0081,0.0042,885.0288,132.7193
876.2409,169.7774,0.0082,0.0042,889.4668,133.5625
881.8817,168.6703,0.0083,0.0042,893.9329,134.3985
887.4855,167.5560,0.0085,0.0042,898.4267,135.2271
893.0520,166.4344,0.0086,0.0042,902.9479,136.0484
898.5811,165.3058,0.0088,0.0042,907.4965,136.8622
904.0724,164.1700,0.0089,0.0043,912.0720,137.6685
909.5257,163.0271,0.0090,0.0043,916.6743,138.4673
914.9408,161.8772,0.0092,0.0043,921.3031,139.2583
920.3174,160.7203,0.0093,0.0043,925.9581,140.0417
925.6554,159.5564,0.0095,0.0043,930.6391,140.8172
930.9544,158.3856,0.0096,0.0043,935.3458,141.5849
936.2143,157.2078,0.0098,0.0043,940.0780,142.3447
941.4349,156.0231,0.0099,0.0043,944.8354,143.0965
946.6158,154.8317,0.0100,0.0043,949.6177,143.8403
951.7569,153.6334,0.0102,0.0043,954.4246,144.5759
956.8579,152.4283,0.0103,0.0044,959.2560,145.3032
961.9187,151.2165,0.0105,0.0044,964.1114,146.0224
966.9390,149.9980,0.0106,0.0044,968.9907,146.7332
971.9185,148.7729,0.0108,0.0044,973.8935,147.4356
976.8571,147.5411,0.0109,0.0044,978.8197,148.1294
981.7545,146.3028,0.0111,0.0044,983.7687,148.8148
986.6105,145.0580,0.0112,0.0044,988.7405,149.4915
991.4250,143.8066,0.0114,0.0044,993.7348,150.1596
996.1976,142.5488,0.0115,0.0044,998.7511,150.8188
1000.9281,141.2846,0.0117,0.0044,1003.7892,151.4692
1005.6165,140.0140,0.0118,0.0044,1008.8489,152.1108
1010.2623,138.7371,0.0119,0.0044,1013.9299,152.7433
1014.8655,137.4540,0.0121,0.0044,1019.0317,153.3668
1019.4259,136.1646,0.0122,0.0044,1024.1542,153.9811
1023.9431,134.8690,0.0124,0.0044,1029.2970,154.5863
1028.4171,133.5673,0.0125,0.0044,1034.4599,155.1821
1032.8475,132.2595,0.0127,0.0044,1039.6424,155.7687
1037.2343,130.9457,0.0128,0.0044,1044.8443,156.3458
1041.5772,129.6259,0.0130,0.0044,1050.0653,156.9134
1045.8760,128.3001,0.0131,0.0044,1055.3051,157.4714
1050.1304,126.9685,0.0133,0.0044,1060.5633,158.0198
1054.3405,125.6310,0.0134,0.0044,1065.8397,158.5584
1058.5058,124.2877,0.0136,0.0044,1071.1338,159.0873
1062.6262,122.9388,0.0137,0.0044,1076.4454,159.6063
1066.7016,121.5841,0.0139,0.0044,1081.7741,160.1152
1070.7318,120.2237,0.0140,0.0044,1087.1196,160.6141
1074.7165,118.8578,0.0141,0.0044,1092.4816,161.1028
1078.6556,117.4863,0.0143,0.0044,1097.8597,161.5812
1082.5488,116.1094,0.0144,0.0044,1103.2535,162.0492
1086.3961,114.7270,0.0146,0.0044,1108.6628,162.5069
1090.1973,113.3393,0.0147,0.0044,1114.0872,162.9541
1093.9520,111.9462,0.0149,0.0044,1119.5263,163.3906
1097.6603,110.5480,0.0150,0.0044,1124.9798,163.8166
1101.3218,109.1446,0.0152,0.0044,1130.4473,164.2318
1104.9365,107.7361,0.0153,0.0044,1135.9285,164.6361
1108.5042,106.3226,0.0155,0.0044,1141.4229,165.0296
1112.0246,104.9041,0.0156,0.0044,1146.9303,165.4121
1115.4977,103.4807,0.0158,0.0044,1152.4503,165.7836
1118.9233,102.0525,0.0159,0.0044,1157.9824,166.1440
1122.3012,100.6196,0.0161,0.0044,1163.5264,166.4931
1125.6312,99.1820,0.0162,0.0044,1169.0819,166.8309
1128.9133,97.7398,0.0163,0.0044,1174.6484,167.1574
1132.1472,96.2931,0.0165,0.0044,1180.2256,167.4724
1135.3328,94.8419,0.0166,0.0044,1185.8131,167.7758
1138.4699,93.3864,0.0168,0.0045,1191.4105,168.0677
1141.5585,91.9266,0.0169,0.0045,1197.0174,168.3479
1144.5983,90.4625,0.0171,0.0045,1202.6335,168.6162
1147.5893,88.9944,0.0172,0.0045,1208.2584,168.8728
1150.5312,87.5222,0.0174,0.0045,1213.8916,169.1174
1153.4240,86.0461,0.0175,0.0045,1219.5328,169.3500
1156.2676,84.5660,0.0177,0.0045,1225.1815,169.5705
1159.0617,83.0822,0.0178,0.0045,1230.8373,169.7788
1161.8063,81.5948,0.0180,0.0045,1236.4999,169.9748
1164.5013,80.1037,0.0181,0.0046,1242.1688,170.1585
1167.1466,78.6090,0.0183,0.0046,1247.8437,170.3298
1169.7419,77.1110,0.0184,0.0046,1253.5240,170.4886
1172.2873,75.6097,0.0186,0.0046,1259.2094,170.6348
1174.7825,74.1051,0.0188,0.0046,1264.8995,170.7683
1177.2276,72.5974,0.0189,0.0047,1270.5938,170.8891
1179.6223,71.0867,0.0191,0.0047,1276.2920,170.9971
1181.9666,69.5730,0.0192,0.0047,1281.9935,171.0921
1184.2605,68.0565,0.0194,0.0047,1287.6980,171.1742
1186.5037,66.5373,0.0195,0.0048,1293.4050,171.2432
1188.6963,65.0155,0.0197,0.0048,1299.1141,171.2991
1190.8380,63.4912,0.0199,0.0048,1304.8248,171.3418
1192.9290,61.9645,0.0200,0.0048,1310.5367,171.3711
1194.9690,60.4355,0.0202,0.0049,1316.2494,171.3871
1196.9580,58.9043,0.0203,0.0049,1321.9623,171.3896
1198.8959,57.3711,0.0205,0.0049,1327.6752,171.3786
1200.7827,55.8359,0.0207,0.0050,1333.3874,171.3539
1202.6183,54.2990,0.0208,0.0050,1339.0986,171.3156
1204.4026,52.7603,0.0210,0.0050,1344.8083,171.2634
1206.1356,51.2200,0.0212,0.0051,1350.5160,171.1975
1207.8173,49.6783,0.0213,0.0051,1356.2213,171.1176
1209.4475,48.1353,0.0215,0.0051,1361.9237,171.0237
1211.0263,46.5911,0.0217,0.0052,1367.6228,170.9158
1212.5536,45.0458,0.0219,0.0052,1373.3180,170.7937
1214.0293,43.4995,0.0220,0.0053,1379.0088,170.6574
1215.4535,41.9525,0.0222,0.0053,1384.6950,170.5068
1216.8261,40.4047,0.0224,0.0053,1390.3758,170.3418
1218.1472,38.8564,0.0226,0.0054,1396.0509,170.1624
1219.4166,37.3077,0.0227,0.0054,1401.7198,169.9685
1220.6343,35.7587,0.0229,0.0055,1407.3820,169.7600
1221.8005,34.2096,0.0231,0.0055,1413.0370,169.5368
1222.9150,32.6605,0.0233,0.0056,1418.6843,169.2989
1223.9778,31.1093,0.0236,0.0100,1424.3234,169.0462
1224.9889,29.5567,0.0238,0.0038,1429.9539,168.7785
1225.9483,28.0077,0.0235,-0.0289,1435.5751,168.4955
1226.8562,26.4675,0.0215,-0.0980,1441.1867,168.1975
1227.7130,24.9414,0.0165,-0.2078,1446.7881,167.8847
1228.5192,23.4345,0.0072,-0.3587,1452.3789,167.5577
1229.2755,21.9506,-0.0078,-0.5492,1457.9585,167.2170
1229.9828,20.4926,-0.0298,-0.7771,1463.5265,166.8634
1230.6420,19.0626,-0.0600,-1.0403,1469.0826,166.4976
1231.2540,17.6623,-0.0996,-1.3371,1474.6262,166.1216
1231.8198,16.2924,-0.1495,-1.6658,1480.1572,165.7369
1232.3405,14.9544,-0.2110,-2.0257,1485.6753,165.3433
1232.8171,13.6492,-0.2849,-2.4161,1491.1800,164.9406
1233.2508,12.3776,-0.3724,-2.8361,1496.6712,164.5296
1233.6427,11.1402,-0.4743,-3.2852,1502.1486,164.1107
1233.9939,9.9377,-0.5917,-3.7626,1507.6119,163.6844
1234.3056,8.7705,-0.7255,-4.2677,1513.0608,163.2511
1234.5790,7.6391,-0.8765,-4.7997,1518.4952,162.8111
1234.8153,6.5439,-1.0457,-5.3578,1523.9148,162.3649
1235.0157,5.4852,-1.2340,-5.9408,1529.3195,161.9128
1235.1814,4.4634,-1.4420,-6.5478,1534.7089,161.4549
1235.3136,3.4788,-1.6707,-7.1781,1540.0831,160.9916
1235.4137,2.5319,-1.9208,-7.8306,1545.4416,160.5232
1235.4829,1.6229,-2.1931,-8.5039,1550.7845,160.0498
1235.5223,0.7518,-2.4881,-9.1966,1556.1116,159.5718
1235.5334,-0.0810,-2.8064,-9.9075,1561.4226,159.0894
1235.5174,-0.8753,-3.1488,-10.6351,1566.7175,158.6028
1235.4755,-1.6309,-3.5156,-11.3779,1571.9961,158.1124
1235.4091,-2.3478,-3.9074,-12.1345,1577.2583,157.6183
1235.3194,-3.0261,-4.3247,-12.9029,1582.5039,157.1210
1235.2077,-3.6660,-4.7678,-13.6815,1587.7330,156.6207
1235.0754,-4.2675,-5.2369,-14.4689,1592.9453,156.1177
1234.9237,-4.8308,-5.7324,-15.2631,1598.1408,155.6124
1234.7538,-5.3566,-6.2545,-16.0626,1603.3194,155.1051
1234.5670,-5.8452,-6.8033,-16.8654,1608.4811,154.5962
1234.3645,-6.2973,-7.3789,-17.6699,1613.6258,154.0861
1234.1475,-6.7134,-7.9813,-18.4746,1618.7535,153.5750
1233.9173,-7.0940,-8.6105,-19.2782,1623.8642,153.0634
1233.6750,-7.4401,-9.2665,-20.0790,1628.9578,152.5517
1233.4217,-7.7528,-9.9490,-20.8752,1634.0343,152.0401
1233.1585,-8.0332,-10.6581,-21.6655,1639.0938,151.5291
1232.8865,-8.2822,-11.3933,-22.4487,1644.1362,151.0189
1232.6067,-8.5004,-12.1545,-23.2238,1649.1617,150.5100
