x,vx,y,vy,z,vz
553.4739,114.1685,100.2601,61.0648,464.4708,85.2302
557.2651,113.3036,102.2967,61.1224,467.3208,85.7690
561.0278,112.4631,104.3347,61.1589,470.1885,86.2908
564.7629,111.6471,106.3737,61.1759,473.0733,86.7950
568.4712,110.8561,108.4129,61.1747,475.9747,87.2813
572.1535,110.0903,110.4518,61.1566,478.8919,87.7494
575.8108,109.3498,112.4899,61.1230,481.8244,88.1990
579.4438,108.6346,114.5265,61.0753,484.7716,88.6298
583.0534,107.9444,116.5614,61.0150,487.7329,89.0417
586.6404,107.2792,118.5941,60.9433,490.7075,89.4344
590.2056,106.6388,120.6242,60.8616,493.6949,89.8081
593.7499,106.0227,122.6514,60.7711,496.6945,90.1625
597.2741,105.4307,124.6755,60.6731,499.7056,90.4977
600.7789,104.8624,126.6962,60.5688,502.7275,90.8139
604.2651,104.3174,128.7134,60.4592,505.7596,91.1110
607.7336,103.7952,130.7268,60.3455,508.8013,91.3893
611.1851,103.2953,132.7364,60.2286,511.8520,91.6489
614.6202,102.8172,134.7420,60.1095,514.9111,91.8899
618.0398,102.3605,136.7437,59.9890,517.9778,92.1127
621.4445,101.9246,138.7413,59.8679,521.0517,92.3175
624.8350,101.5089,140.7349,59.7470,524.1321,92.5045
628.2120,101.1130,142.7244,59.6271,527.2185,92.6740
631.5761,100.7362,144.7100,59.5087,530.3102,92.8263
634.9279,100.3782,146.6917,59.3923,533.4067,92.9617
638.2682,100.0385,148.6695,59.2783,536.5075,93.0806
641.5974,99.7164,150.6436,59.1674,539.6119,93.1834
644.9161,99.4115,152.6141,59.0600,542.7195,93.2703
648.2250,99.1232,154.5810,58.9563,545.8297,93.3419
651.5245,98.8512,156.5445,58.8567,548.9421,93.3984
654.8152,98.5949,158.5048,58.7613,552.0561,93.4402
658.0977,98.3541,160.4620,58.6705,555.1713,93.4677
661.3723,98.1282,162.4162,58.5844,558.2872,93.4811
664.6397,97.9170,164.3677,58.5032,561.4032,93.4808
667.9003,97.7201,166.3165,58.4270,564.5191,93.4671
671.1545,97.5372,168.2629,58.3559,567.6342,93.4404
674.4029,97.3679,170.2070,58.2899,570.7483,93.4009
677.6459,97.2120,172.1489,58.2292,573.8608,93.3490
680.8839,97.0693,174.0890,58.1738,576.9714,93.2848
684.1173,96.9394,176.0272,58.1238,580.0797,93.2087
687.3466,96.8220,177.9639,58.0790,583.1852,93.1210
690.5722,96.7170,179.8992,58.0397,586.2876,93.0218
693.7946,96.6242,181.8333,58.0057,589.3865,92.9115
697.0140,96.5433,183.7663,57.9769,592.4816,92.7902
700.2309,96.4742,185.6985,57.9536,595.5724,92.6583
703.4457,96.4165,187.6300,57.9355,598.6587,92.5158
706.6588,96.3702,189.5609,57.9227,601.7400,92.3629
709.8705,96.3349,191.4915,57.9152,604.8161,92.2000
713.0813,96.3107,193.4220,57.9129,607.8866,92.0271
716.2914,96.2972,195.3525,57.9157,610.9511,91.8443
719.5012,96.2944,197.2831,57.9238,614.0094,91.6518
722.7111,96.3021,199.2141,57.9370,617.0612,91.4497
725.9214,96.3199,201.1456,57.9552,620.1060,91.2385
729.1325,96.3473,203.0778,57.9783,623.1436,91.0186
732.3447,96.3837,205.0109,58.0058,626.1738,90.7907
735.5582,96.4288,206.9449,58.0378,629.1963,90.5555
738.7734,96.4818,208.8801,58.0738,632.2108,90.3135
741.9904,96.5422,210.8166,58.1136,635.2171,90.0656
745.2096,96.6093,212.7544,58.1570,638.2151,89.8127
748.4311,96.6823,214.6937,58.2034,641.2046,89.5555
751.6552,96.7608,216.6347,58.2528,644.1854,89.2947
754.8819,96.8439,218.5773,58.3046,647.1575,89.0312
758.1115,96.9313,220.5217,58.3587,650.1208,88.7654
761.3440,97.0222,222.4679,58.4148,653.0752,88.4983
764.5796,97.1162,224.4160,58.4726,656.0207,88.2303
767.8185,97.2128,226.3661,58.5317,658.9572,87.9623
771.0605,97.3117,228.3181,58.5922,661.8848,87.6945
774.3059,97.4123,230.2722,58.6536,664.8035,87.4276
777.5547,97.5146,232.2284,58.7160,667.7133,87.1617
780.8069,97.6182,234.1866,58.7791,670.6143,86.8973
784.0626,97.7228,236.1470,58.8428,673.5065,86.6347
787.3218,97.8282,238.1095,58.9071,676.3900,86.3741
